"Frame","Type","Text"
"Product Vision","Card","Internal operating system for executives and producers"
"Product Vision","Card","Centralize projects scripts documents spreadsheets contacts submissions statuses and production context"
"Product Vision","Card","Store scripts as both original PDFs and parsed searchable text"
"Product Vision","Card","Internal-only launch; AI canvas comes after the core database is stable"
"Development Roadmap","Phase 1 - Studio DB MVP","Auth + roles"
"Development Roadmap","Phase 1 - Studio DB MVP","Project tracking"
"Development Roadmap","Phase 1 - Studio DB MVP","Contact DB"
"Development Roadmap","Phase 1 - Studio DB MVP","Script upload + parsed text"
"Development Roadmap","Phase 1 - Studio DB MVP","Production docs"
"Development Roadmap","Phase 1 - Studio DB MVP","Notes/tags/search"
"Development Roadmap","Phase 2 - Executive Dashboards","Slate overview"
"Development Roadmap","Phase 2 - Executive Dashboards","Active projects"
"Development Roadmap","Phase 2 - Executive Dashboards","By status/priority"
"Development Roadmap","Phase 2 - Executive Dashboards","Urgent items"
"Development Roadmap","Phase 2 - Executive Dashboards","Export reports"
"Development Roadmap","Phase 2 - Executive Dashboards","Submission grid"
"Development Roadmap","Phase 3 - Script Intelligence","AI summaries"
"Development Roadmap","Phase 3 - Script Intelligence","Version comparison"
"Development Roadmap","Phase 3 - Script Intelligence","Sequence breakdown"
"Development Roadmap","Phase 3 - Script Intelligence","Scene breakdown"
"Development Roadmap","Phase 3 - Script Intelligence","Characters/props/locations"
"Development Roadmap","Phase 4 - Reference Library","Reference uploads"
"Development Roadmap","Phase 4 - Reference Library","Asset uploads"
"Development Roadmap","Phase 4 - Reference Library","Scene linking"
"Development Roadmap","Phase 4 - Reference Library","Asset requirements"
"Development Roadmap","Phase 4 - Reference Library","Version history"
"Development Roadmap","Phase 5 - AI Generation","Claude orchestration"
"Development Roadmap","Phase 5 - AI Generation","OpenArt/Luma"
"Development Roadmap","Phase 5 - AI Generation","Prompt history"
"Development Roadmap","Phase 5 - AI Generation","Cost tracking"
"Development Roadmap","Phase 5 - AI Generation","Review states"
"Development Roadmap","Phase 6 - Canvas","Visual workspace"
"Development Roadmap","Phase 6 - Canvas","Creative directions"
"Development Roadmap","Phase 6 - Canvas","Image iteration"
"Development Roadmap","Phase 6 - Canvas","Annotations"
"Development Roadmap","Phase 6 - Canvas","Approval states"
"Development Roadmap","Phase 7 - Hardening","Granular permissions"
"Development Roadmap","Phase 7 - Hardening","Watermarks"
"Development Roadmap","Phase 7 - Hardening","Access expiration"
"Development Roadmap","Phase 7 - Hardening","Audit logs"
"Development Roadmap","Phase 7 - Hardening","Frame.io/Flix"
"Core Workflows","Project Tracking","Create project"
"Core Workflows","Project Tracking","Assign type/status"
"Core Workflows","Project Tracking","Upload script"
"Core Workflows","Project Tracking","Attach docs"
"Core Workflows","Project Tracking","Link contacts"
"Core Workflows","Project Tracking","Exec dashboard"
"Core Workflows","Project Tracking","Audit status changes"
"Core Workflows","Script Storage","Upload PDF"
"Core Workflows","Script Storage","Store original"
"Core Workflows","Script Storage","Parse text"
"Core Workflows","Script Storage","Index search"
"Core Workflows","Script Storage","Mark current version"
"Core Workflows","Script Storage","Preserve versions"
"Core Workflows","Submission","Log source"
"Core Workflows","Submission","Create/link project"
"Core Workflows","Submission","Assign status"
"Core Workflows","Submission","Track changes"
"Core Workflows","Submission","Record pass reason"
"Core Workflows","Submission","Preserve audit trail"
"Roles & Permissions","Executive","All projects"
"Roles & Permissions","Executive","Dashboards"
"Roles & Permissions","Executive","Scripts/docs"
"Roles & Permissions","Executive","Contacts/network"
"Roles & Permissions","Executive","High-level status"
"Roles & Permissions","Executive","Reports/exports"
"Roles & Permissions","Producer","Create/update projects"
"Roles & Permissions","Producer","Upload scripts/docs"
"Roles & Permissions","Producer","Manage contacts"
"Roles & Permissions","Producer","Notes/statuses"
"Roles & Permissions","Producer","Submission review"
"Roles & Permissions","Artist","Assigned projects"
"Roles & Permissions","Artist","Approved scripts"
"Roles & Permissions","Artist","Creative materials"
"Roles & Permissions","Artist","Limited contacts"